"","country","field","level","sex","opiEU"
"102","Ireland","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"103","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"104","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"105","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"106","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"107","Germany","Social sciences, journalism and information","Masters degree or equivalent","Male","Very positive"
"108","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"109","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"110","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"111","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Neutral"
"112","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"113","Germany","Other","A-level or equivalent","Female","Quite positive"
"114","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"115","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"116","Germany","Business, administration and law","A-level or equivalent","Prefer not to answer","Quite positive"
"117","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite positive"
"118","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"119","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"120","Turkey","Social sciences, journalism and information","A-level or equivalent","Other","Neutral"
"121","France Antilles","Other","Bachelors degree or equivalent","Female","Neutral"
"122","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"123","Germany","Other","Bachelors degree or equivalent","Female","Neutral"
"124","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"125","Germany","Other","A-level or equivalent","Female","Quite positive"
"126","France Metropolitan","Health","Masters degree or equivalent","Female","Quite positive"
"127","Tunisia","Prefer not to answer","Bachelors degree or equivalent","Female","Quite positive"
"128","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"129","Tunisia","Social sciences, journalism and information","A-level or equivalent","Female","Very positive"
"130","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"131","Germany","Other","A-level or equivalent","Female","Very positive"
"132","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"133","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"134","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"135","France Metropolitan","Business, administration and law","Masters degree or equivalent","Female","Neutral"
"136","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"137","France Antilles","Health","PhD or equivalent","Female",NA
"138","Germany","Other","A-level or equivalent","Male","Quite negative"
"139","Germany","Other","A-level or equivalent","Male","Quite positive"
"140","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"141","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"142","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"143","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"144","Germany","Other","A-level or equivalent","Male","Very positive"
"145","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"146","Germany","Arts and Humanities","A-level or equivalent","Female","Neutral"
"147","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"148","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very negative"
"149","Ireland","Arts and Humanities","A-level or equivalent","Female","Neutral"
"150","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"151","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"152","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"153","Ireland","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"154","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Quite negative"
"155","Turkey","Engineering, manufacturing and construction","A-level or equivalent","Female","Quite positive"
"156","France Metropolitan","Other","Masters degree or equivalent","Female","Very positive"
"157","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Very positive"
"158","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"159","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"160","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"161","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"162","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"163","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Neutral"
"164","Turkey","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"165","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite negative"
"166","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"167","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female",NA
"168","Germany","Other","A-level or equivalent","Female","Very negative"
"169","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Male",NA
"170","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"171","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"172","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very negative"
"173","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Neutral"
"174","France Metropolitan","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"175","Germany","Other","A-level or equivalent","Female","Quite positive"
"176","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"177","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"178","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Neutral"
"179","Tunisia","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female",NA
"180","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"181","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Very positive"
"182","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Very positive"
"183","Germany","Other","A-level or equivalent","Female","Quite positive"
"184","France Metropolitan","Health","Bachelors degree or equivalent","Female","Very positive"
"185","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"186","Ireland","Arts and Humanities","PhD or equivalent","Male","Very positive"
"187","Ireland","Social sciences, journalism and information","A-level or equivalent","Female","Very positive"
"188","Turkey","Business, administration and law","Prefer not to answer","Female","Neutral"
"189","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"190","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"191","Germany","Prefer not to answer","Prefer not to answer","Male",NA
"192","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"193","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"194","Turkey","Business, administration and law","A-level or equivalent","Male","Quite negative"
"195","France Metropolitan","Other","A-level or equivalent","Female","Neutral"
"196","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"197","France Antilles","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite negative"
"198","Turkey","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"199","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"200","France Metropolitan","Other","Bachelors degree or equivalent","Other","Very negative"
"201","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"202","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"203","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"204","Germany","Other","Bachelors degree or equivalent","Female","Very positive"
"205","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"206","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"207","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"208","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"209","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"210","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"211","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"212","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"213","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"214","Germany","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"215","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"216","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"217","Ireland","Other","Bachelors degree or equivalent","Male","Quite positive"
"218","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"219","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"220","Germany","Health","Bachelors degree or equivalent","Female","Quite negative"
"221","France Antilles","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"222","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"223","Turkey","Other","A-level or equivalent","Female","Quite positive"
"224","France Antilles","Other","Bachelors degree or equivalent","Female","Very positive"
"225","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"226","France Antilles","Arts and Humanities","Masters degree or equivalent","Male",NA
"227","Turkey","Social sciences, journalism and information","A-level or equivalent","Female","Neutral"
"228","Germany","Other","Bachelors degree or equivalent","Female","Very positive"
"229","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"230","Tunisia","Other","Bachelors degree or equivalent","Female","Quite positive"
"231","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite negative"
"232","Germany","Business, administration and law","A-level or equivalent","Female",NA
"233","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"234","France Antilles","Health","A-level or equivalent","Female","Neutral"
"235","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"236","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Male","Prefer not to answer"
"237","France Antilles","Other","Masters degree or equivalent","Female",NA
"238","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Neutral"
"239","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Quite negative"
"240","Ireland","Other","Bachelors degree or equivalent","Female","Quite positive"
"241","Germany","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"242","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"243","Tunisia","Other","Masters degree or equivalent","Female","Very positive"
"244","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"245","France Antilles","Arts and Humanities","Masters degree or equivalent","Male","Quite negative"
"246","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"247","Germany","Business, administration and law","A-level or equivalent","Female",NA
"248","Turkey","Arts and Humanities","A-level or equivalent","Female","Very positive"
"249","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"250","Tunisia","Other","Masters degree or equivalent","Female","Quite negative"
"251","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"252","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"253","France Metropolitan","Arts and Humanities","PhD or equivalent","Female","Quite positive"
"254","Germany","Other","A-level or equivalent","Prefer not to answer","Quite positive"
"255","Germany","Arts and Humanities","A-level or equivalent","Male","Very positive"
"256","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"257","Germany","Business, administration and law","A-level or equivalent","Male","Neutral"
"258","France Antilles","Other","Bachelors degree or equivalent","Male","Quite positive"
"259","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"260","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Other","Neutral"
"261","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite negative"
"262","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"263","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"264","Ireland","Other","A-level or equivalent","Female","Very positive"
"265","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"266","Germany","Other","A-level or equivalent","Female","Very positive"
"267","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Prefer not to answer","Quite positive"
"268","Tunisia","Natural sciences, mathematics and statistics","PhD or equivalent","Female","Prefer not to answer"
"269","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"270","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"271","Germany","Other","Bachelors degree or equivalent","Female",NA
"272","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"273","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"274","Turkey","Other","A-level or equivalent","Male","Quite positive"
"275","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"276","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"277","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"278","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"279","Ireland","Other","A-level or equivalent","Male","Very positive"
"280","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"281","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"282","France Metropolitan","Health","Bachelors degree or equivalent","Male",NA
"283","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"284","France Antilles","Other","Bachelors degree or equivalent","Male","Very positive"
"285","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"286","Germany","Other","A-level or equivalent","Female","Quite negative"
"287","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"288","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"289","France Metropolitan","Social sciences, journalism and information","PhD or equivalent","Female","Quite positive"
"290","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"291","Germany","Business, administration and law","A-level or equivalent","Female",NA
"292","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"293","Germany","Health","PhD or equivalent","Female","Quite positive"
"294","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male",NA
"295","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"296","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"297","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"298","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"299","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Male","Prefer not to answer"
"300","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"301","Germany","Other","A-level or equivalent","Female","Neutral"
"302","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"303","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"304","Germany","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"305","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Neutral"
"306","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"307","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"308","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"309","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite negative"
"310","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"311","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"312","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"313","France Antilles","Arts and Humanities","Masters degree or equivalent","Female",NA
"314","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"315","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Very negative"
"316","Tunisia","Other","Bachelors degree or equivalent","Female",NA
"317","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"318","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"319","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"320","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"321","France Metropolitan","Health","Bachelors degree or equivalent","Female","Very positive"
"322","France Antilles","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Prefer not to answer"
"323","Germany","Arts and Humanities","A-level or equivalent","Female","Quite negative"
"324","Tunisia","Health","Masters degree or equivalent","Female","Neutral"
"325","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"326","Turkey","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"327","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Quite positive"
"328","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"329","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Neutral"
"330","Turkey","Business, administration and law","A-level or equivalent","Male","Neutral"
"331","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"332","Turkey","Other","A-level or equivalent","Male","Neutral"
"333","France Metropolitan","Health","Bachelors degree or equivalent","Male","Very positive"
"334","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"335","Turkey","Health","Bachelors degree or equivalent","Male","Quite positive"
"336","Germany","Other","A-level or equivalent","Female","Neutral"
"337","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"338","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"339","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"340","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"341","Turkey","Other","Prefer not to answer","Female","Quite positive"
"342","Germany","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"343","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"344","Turkey","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"345","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"346","Germany","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"347","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"348","France Antilles","Other","Bachelors degree or equivalent","Male","Very positive"
"349","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Neutral"
"350","Tunisia","Natural sciences, mathematics and statistics","Prefer not to answer","Male","Quite positive"
"351","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"352","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Other","Quite positive"
"353","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Very positive"
"354","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"355","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"356","Germany","Arts and Humanities","A-level or equivalent","Female","Quite negative"
"357","France Metropolitan","Health","Bachelors degree or equivalent","Female","Neutral"
"358","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"359","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Other","Neutral"
"360","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"361","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"362","Tunisia","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"363","France Antilles","Business, administration and law","Masters degree or equivalent","Female","Neutral"
